pop,pop.1,pop.2,pop.3,pop.4,pop.5,pop.6,pop.7,pop.8,pop.9,pop.10,pop.11,pop.12,pop.13,pop.14,pop.15,pop.16,pop
"{Commuter(unique_id=144194236352303257056617291040378015536, geometry=POINT (13460541.463084497 3637327.4435814824), status=home, , Commuter(unique_id=207069103683073645760197363124091694732, geometry=POINT (13460541.463084497 3637327.4435814824), status=home, }",23.0,36.0,37.0,23.0,36.0,32.0,7.0,12.0,20.0,37.0,21.0,29.0,8,19,2,26,39
set(),13.0,19.0,16.0,14.0,17.0,15.0,18.0,12.0,15.0,10.0,3.0,17.0,10,9,14,20,15
set(),3.0,18.0,0.0,0.0,6.0,17.0,10.0,6.0,1.0,16.0,9.0,1.0,19,15,28,21,28
"{Commuter(unique_id=74372023779494081499912290063497674609, geometry=POINT (13460555.160014119 3637271.1660695593), status=home, , Commuter(unique_id=291838335550346061261512819731780129358, geometry=POINT (13460555.160014119 3637271.1660695593), status=home, , Commuter(unique_id=185304258378396181510909415427791527221, geometry=POINT (13460555.160014119 3637271.1660695593), status=home, , Commuter(unique_id=175776529429430071646361958470185900511, geometry=POINT (13460555.160014119 3637271.1660695593), status=home, , Commuter(unique_id=12799332841391504044651570191423013642, geometry=POINT (13460555.160014119 3637271.1660695593), status=home, }",53.0,61.0,50.0,61.0,54.0,56.0,13.0,19.0,12.0,21.0,14.0,12.0,11,15,15,10,4
"{Commuter(unique_id=267960009792474429503084427205242354326, geometry=POINT (13460607.448238896 3637271.0526935267), status=home, , Commuter(unique_id=65108385388587373200259977139073026978, geometry=POINT (13460607.448238896 3637271.0526935267), status=home, , Commuter(unique_id=214095306707209959974688136551002153496, geometry=POINT (13460607.448238896 3637271.0526935267), status=home, , Commuter(unique_id=26508522249206596829732133358249163699, geometry=POINT (13460607.448238896 3637271.0526935267), status=home, , Commuter(unique_id=263187201376556792297999485184441786009, geometry=POINT (13460607.448238896 3637271.0526935267), status=home, }",55.0,61.0,62.0,50.0,40.0,50.0,34.0,24.0,26.0,22.0,38.0,33.0,4,2,16,15,15
set(),18.0,13.0,19.0,1.0,16.0,1.0,16.0,12.0,13.0,6.0,3.0,4.0,34,42,49,6,15
set(),14.0,4.0,13.0,14.0,2.0,1.0,3.0,17.0,13.0,2.0,10.0,1.0,10,16,9,18,4
set(),5.0,1.0,4.0,5.0,17.0,10.0,4.0,7.0,6.0,18.0,7.0,11.0,10,9,8,18,15
set(),13.0,10.0,8.0,10.0,19.0,18.0,16.0,3.0,17.0,2.0,8.0,12.0,9,15,14,16,3
set(),3.0,4.0,15.0,0.0,17.0,17.0,14.0,14.0,19.0,9.0,12.0,9.0,6,10,4,13,11
set(),5.0,5.0,4.0,13.0,17.0,10.0,15.0,14.0,12.0,6.0,0.0,2.0,15,13,17,1,3
set(),4.0,3.0,13.0,11.0,19.0,5.0,9.0,14.0,8.0,17.0,14.0,6.0,7,11,12,14,11
set(),16.0,1.0,2.0,10.0,19.0,10.0,9.0,10.0,4.0,5.0,9.0,13.0,28,28,17,14,37
"{Commuter(unique_id=177991719745660521918710989040214674299, geometry=POINT (13460355.183960946 3637149.916374055), status=home, , Commuter(unique_id=18000724983673044898180943812700837938, geometry=POINT (13460355.183960946 3637149.916374055), status=home, , Commuter(unique_id=109062147356237750451218641175778733998, geometry=POINT (13460355.183960946 3637149.916374055), status=home, , Commuter(unique_id=183379848616483485591536672313083583538, geometry=POINT (13460355.183960946 3637149.916374055), status=home, , Commuter(unique_id=63479659093563571827583535641302748437, geometry=POINT (13460355.183960946 3637149.916374055), status=home, , Commuter(unique_id=297025703080665142563308822601134777893, geometry=POINT (13460355.183960946 3637149.916374055), status=home, , Commuter(unique_id=182042732069926202280529607622666550466, geometry=POINT (13460355.183960946 3637149.916374055), status=home, , Commuter(unique_id=61309702584700237696181640650416148588, geometry=POINT (13460355.183960946 3637149.916374055), status=home, }",99.0,98.0,95.0,105.0,96.0,98.0,75.0,98.0,92.0,94.0,99.0,93.0,13,12,24,35,32
set(),2.0,11.0,8.0,11.0,8.0,17.0,3.0,16.0,18.0,7.0,13.0,17.0,14,1,17,3,5
"{Commuter(unique_id=304244741374041682708559901061712798852, geometry=POINT (13460404.310132548 3637228.6379647665), status=home, }",27.0,18.0,17.0,10.0,29.0,26.0,21.0,29.0,25.0,26.0,18.0,25.0,17,12,16,12,0
"{Commuter(unique_id=185007460410333004384621546857043892697, geometry=POINT (13460397.015381493 3637152.470660293), status=home, , Commuter(unique_id=261004698982200592715858389715955316472, geometry=POINT (13460397.015381493 3637152.470660293), status=home, }",35.0,28.0,38.0,32.0,20.0,22.0,0.0,2.0,5.0,13.0,5.0,5.0,13,7,8,25,24
set(),4.0,18.0,7.0,5.0,11.0,0.0,18.0,1.0,19.0,13.0,1.0,16.0,17,15,0,4,13
"{Commuter(unique_id=88855799688471841722050109843521186248, geometry=POINT (13460508.382231709 3637130.434298466), status=home, , Commuter(unique_id=142706455559295247655855210816306996875, geometry=POINT (13460508.382231709 3637130.434298466), status=home, , Commuter(unique_id=148931385024897178994028836033274941119, geometry=POINT (13460508.382231709 3637130.434298466), status=home, , Commuter(unique_id=339804950904752013088561342417014568035, geometry=POINT (13460508.382231709 3637130.434298466), status=home, }",40.0,51.0,42.0,49.0,43.0,47.0,96.0,98.0,103.0,100.0,90.0,93.0,17,1,11,6,19
"{Commuter(unique_id=263995295989892652650998421285610478759, geometry=POINT (13460449.665294256 3637203.338264164), status=home, }",24.0,28.0,11.0,19.0,15.0,20.0,22.0,19.0,18.0,20.0,8.0,16.0,17,1,0,9,19
"{Commuter(unique_id=102687511443540980022526751741666270863, geometry=POINT (13460513.179512361 3637177.8214863744), status=home, }",13.0,22.0,21.0,27.0,23.0,11.0,4.0,13.0,12.0,15.0,11.0,14.0,15,8,18,7,15
"{Commuter(unique_id=29134464701053850202594212463122308695, geometry=POINT (13460557.828194954 3637169.0983986063), status=home, }",16.0,36.0,27.0,29.0,34.0,27.0,28.0,20.0,17.0,15.0,21.0,18.0,23,31,22,24,18
set(),11.0,19.0,12.0,1.0,0.0,15.0,17.0,5.0,0.0,3.0,11.0,13.0,4,18,15,0,9
set(),14.0,12.0,15.0,3.0,16.0,0.0,0.0,1.0,15.0,11.0,8.0,7.0,15,0,10,6,10
set(),4.0,5.0,13.0,13.0,9.0,10.0,9.0,7.0,12.0,13.0,12.0,14.0,1,4,3,5,0
set(),6.0,13.0,0.0,1.0,5.0,9.0,13.0,0.0,5.0,11.0,11.0,1.0,8,13,14,16,0
set(),4.0,9.0,13.0,18.0,1.0,1.0,6.0,9.0,0.0,9.0,13.0,17.0,12,19,6,4,9
set(),10.0,19.0,13.0,4.0,7.0,10.0,2.0,17.0,17.0,8.0,19.0,8.0,15,0,13,13,0
set(),19.0,3.0,9.0,11.0,6.0,3.0,12.0,8.0,1.0,19.0,11.0,4.0,2,15,10,4,3
set(),0.0,17.0,10.0,12.0,15.0,18.0,16.0,19.0,3.0,6.0,11.0,12.0,15,14,14,18,4
set(),3.0,19.0,5.0,10.0,19.0,15.0,11.0,8.0,8.0,16.0,0.0,0.0,12,9,14,7,15
"{Commuter(unique_id=196784411340864498988364406890130883979, geometry=POINT (13460443.981094696 3637311.5082183713), status=home, , Commuter(unique_id=154075268231622204381480938300485474288, geometry=POINT (13460443.981094696 3637311.5082183713), status=home, , Commuter(unique_id=244912119921271931809228952513596671763, geometry=POINT (13460443.981094696 3637311.5082183713), status=home, }",37.0,47.0,10.0,14.0,19.0,28.0,2.0,19.0,2.0,11.0,0.0,9.0,3,11,4,9,8
set(),7.0,13.0,10.0,12.0,10.0,13.0,15.0,5.0,12.0,15.0,1.0,14.0,7,12,12,16,16
set(),4.0,14.0,2.0,8.0,5.0,7.0,18.0,6.0,5.0,5.0,9.0,15.0,11,10,4,0,12
set(),15.0,15.0,6.0,18.0,13.0,11.0,8.0,16.0,2.0,4.0,3.0,18.0,0,0,13,14,13
set(),2.0,9.0,0.0,6.0,0.0,18.0,17.0,2.0,3.0,1.0,4.0,16.0,22,23,10,15,7
set(),18.0,3.0,11.0,14.0,15.0,2.0,10.0,15.0,17.0,3.0,4.0,16.0,14,5,1,10,16
set(),3.0,2.0,0.0,3.0,10.0,1.0,3.0,1.0,5.0,15.0,12.0,3.0,13,16,11,9,12
set(),15.0,0.0,4.0,17.0,0.0,4.0,16.0,4.0,4.0,18.0,2.0,0.0,9,10,7,11,14
,,,,,,,,,,,,,13,16,15,19,2
,,,,,,,,,,,,,6,15,0,13,13
,,,,,,,,,,,,,7,11,14,6,16
,,,,,,,,,,,,,6,13,17,18,12
,,,,,,,,,,,,,3,19,0,4,14
,,,,,,,,,,,,,8,11,12,15,1
,,,,,,,,,,,,,16,17,9,16,19
,,,,,,,,,,,,,18,6,9,2,7
,,,,,,,,,,,,,6,2,12,16,9
,,,,,,,,,,,,,10,18,7,10,4
,,,,,,,,,,,,,4,15,13,7,0
,,,,,,,,,,,,,16,12,5,14,10
,,,,,,,,,,,,,4,9,3,18,11
,,,,,,,,,,,,,10,18,16,14,12
,,,,,,,,,,,,,10,8,3,15,10
