pop,pop.1,pop.2,pop.3,pop.4,pop.5,pop.6,pop.7,pop.8,pop.9,pop.10,pop.11,pop.12,pop.13,pop.14,pop.15,pop.16,pop
"{Commuter(unique_id=233183728432735830730618766049292523230, geometry=POINT (13460663.633258052 3637833.127571519), status=home, , Commuter(unique_id=160771964348163377775390804028069328658, geometry=POINT (13460663.633258052 3637833.127571519), status=home, , Commuter(unique_id=94969010606134427195664888931761332308, geometry=POINT (13460663.633258052 3637833.127571519), status=home, , Commuter(unique_id=224817978574208545719271126715186274914, geometry=POINT (13460663.633258052 3637833.127571519), status=home, , Commuter(unique_id=63117596812588842274205798030924433529, geometry=POINT (13460663.633258052 3637833.127571519), status=home, , Commuter(unique_id=47929018440542461466698780193791037513, geometry=POINT (13460663.633258052 3637833.127571519), status=home, }",76.0,71.0,66.0,60.0,79.0,72.0,64.0,62.0,70.0,89.0,76.0,88.0,6,11,0,19,25
set(),5.0,3.0,16.0,11.0,8.0,14.0,15.0,17.0,19.0,5.0,18.0,3.0,6,18,6,10,1
"{Commuter(unique_id=237298597829932715501464637145058860359, geometry=POINT (13460700.232697299 3637884.6384341135), status=home, , Commuter(unique_id=303169007599034999193771124634420756637, geometry=POINT (13460700.232697299 3637884.6384341135), status=home, }",21.0,12.0,10.0,8.0,3.0,9.0,24.0,39.0,28.0,24.0,27.0,36.0,19,3,14,1,0
"{Commuter(unique_id=71551616048840918279287407590852979246, geometry=POINT (13460626.123681325 3637891.255238214), status=home, , Commuter(unique_id=99135295653670062990172112322565463158, geometry=POINT (13460626.123681325 3637891.255238214), status=home, , Commuter(unique_id=143825525903363120896790158689809774040, geometry=POINT (13460626.123681325 3637891.255238214), status=home, , Commuter(unique_id=336293101734129967868432705054661819173, geometry=POINT (13460626.123681325 3637891.255238214), status=home, , Commuter(unique_id=283740416947510593490693231046674747409, geometry=POINT (13460626.123681325 3637891.255238214), status=home, , Commuter(unique_id=333779283919726444369254411151618439066, geometry=POINT (13460626.123681325 3637891.255238214), status=home, }",73.0,74.0,85.0,77.0,77.0,86.0,1.0,4.0,4.0,19.0,9.0,14.0,14,5,8,8,18
"{Commuter(unique_id=163432816123058965520453671424896788775, geometry=POINT (13460576.034229612 3637902.2353265593), status=home, , Commuter(unique_id=100153735407235936297655092125969621706, geometry=POINT (13460576.034229612 3637902.2353265593), status=home, , Commuter(unique_id=41302455279875268853833023055942589132, geometry=POINT (13460576.034229612 3637902.2353265593), status=home, }",46.0,48.0,35.0,31.0,44.0,30.0,38.0,25.0,26.0,24.0,33.0,31.0,13,6,8,2,18
"{Commuter(unique_id=109262720210284553642875546187492308224, geometry=POINT (13460523.7187019 3637920.242610164), status=home, }",12.0,10.0,27.0,22.0,22.0,16.0,10.0,26.0,34.0,21.0,27.0,35.0,12,17,13,1,19
"{Commuter(unique_id=238933218642009942153830187240080730257, geometry=POINT (13460543.813169297 3637847.9484145474), status=home, }",3.0,8.0,15.0,5.0,0.0,9.0,55.0,0.0,14.0,14.0,13.0,10.0,30,35,38,17,23
"{Commuter(unique_id=276487378296939710632102631715774227219, geometry=POINT (13460521.023986742 3637892.2483618027), status=home, }",25.0,12.0,16.0,17.0,17.0,17.0,14.0,24.0,28.0,26.0,22.0,17.0,26,2,15,2,19
set(),16.0,13.0,19.0,8.0,5.0,1.0,2.0,18.0,14.0,18.0,10.0,18.0,22,30,26,23,31
set(),4.0,15.0,9.0,0.0,6.0,16.0,10.0,11.0,2.0,17.0,12.0,2.0,30,27,25,32,30
